seq_num,time,ifly_xArr,ifly_tArr
1,2022-02-15 11:59:43.977440357,-89.99,10.91127321
2,2022-02-15 11:59:43.977678299,-77.97,11.507204898
3,2022-02-15 11:59:43.977690458,-65.95,12.104249785
4,2022-02-15 11:59:43.977699518,-53.93,12.700001396
5,2022-02-15 11:59:43.977705717,-41.910000000000004,13.296101344
6,2022-02-15 11:59:43.977712393,-29.88,13.89295482
7,2022-02-15 11:59:43.977719545,-17.86,14.488994469
8,2022-02-15 11:59:43.977725267,-5.83,15.084976646
9,2022-02-15 11:59:43.977730989,6.19,15.680951576
10,2022-02-15 11:59:43.977740288,18.21,16.277115818
11,2022-02-15 11:59:43.977747440,30.240000000000002,16.873271674
12,2022-02-15 11:59:43.977756262,42.26,17.469253426
13,2022-02-15 11:59:43.977763891,54.28,18.06520843
14,2022-02-15 11:59:43.977772474,66.31,18.661081688
15,2022-02-15 11:59:43.977780581,78.33,19.257106237
16,2022-02-15 11:59:43.977786779,90.35000000000001,19.852998106
17,2022-02-15 11:59:43.977794647,100.0,20.44901697
18,2022-02-15 11:59:43.977803946,100.0,21.045471622
19,2022-02-15 11:59:43.977809906,100.0,21.64159668
20,2022-02-15 11:59:43.977817059,100.0,22.237913646
21,2022-02-15 11:59:43.977824211,100.0,22.833958228
